Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
gauss_1,0.000,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
gauss_1,grp_sub_gauss_fu_3451,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_compute_B_fu_377,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_compute_A_fu_416,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_load_B_fu_472,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_load_A_fu_496,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_store_A_fu_522,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_store_B_fu_549,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_load_multipliers_fu_573,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_3451/grp_load_norm_line_fu_596,0.000,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
gauss_1,m_axi_gmem,0.000,0.000,0.000,0.000

